tanav_algne,number_algne,tanav_norm,number_norm,esinemisi,aadress_paring,x_lest,y_lest,lat,lon,staatus,vasted_arv,ads_oid,aadress_taielik,marka
Tähe,61,Tähe,61,2,"Tartu linn, Tähe 61",659692.53,6472847.23,58.366884,26.729444,ok,1,EE00768706,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 61",
Tähe,98,Tähe,98,1,"Tartu linn, Tähe 98",659849.87,6471983.78,58.359085,26.731524,multiple,2,EE00759570,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 98",
Tähe,31,Tähe,31,4,"Tartu linn, Tähe 31",659580.75,6473128.49,58.369446,26.727727,ok,1,EE00749098,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 31",
Tähe,14,Tähe,14,2,"Tartu linn, Tähe 14",659537.68,6473348.12,58.371435,26.727145,ok,1,CU03625774,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 14",
Tähe,106,Tähe,106,1,"Tartu linn, Tähe 106",659892.74,6471295.55,58.352897,26.731779,multiple,5,ME00752581,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 106",
Tähe,2,Tähe,2,3,"Tartu linn, Tähe 2",659402.17,6473608.30,58.373817,26.725004,multiple,5,EE01936470,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 2",
Tähe,128,Tähe,128,2,"Tartu linn, Tähe 128",,,,,not_found,0,,,
Tähe,84,Tähe,84,4,"Tartu linn, Tähe 84",659801.99,6472325.04,58.362161,26.730942,ok,1,EE03205147,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 84",
Tähe,143,Tähe,143,1,"Tartu linn, Tähe 143",,,,,not_found,0,,,
Tähe,64,Tähe,64,1,"Tartu linn, Tähe 64",659745.02,6472714.18,58.365672,26.730239,ok,1,EE00758202,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 64",
Tähe,94,Tähe,94,1,"Tartu linn, Tähe 94",659815.56,6472204.60,58.361080,26.731097,ok,1,ME00773947,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 94",
Tähe,145,Tähe,145,1,"Tartu linn, Tähe 145",,,,,not_found,0,,,
